Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
10,369,140,0.578036,0.293391,-0.0665509
0,32570,2997046032,4.59163e-41,0,0
0,312,285,4.59163e-41,0,0
0,312,285,0.489016,0.59552,6.78894e-07
5,32570,2997046032,4.59163e-41,0,0
5,390,202,4.59163e-41,0,0
5,390,202,0.61071,0.421109,-0.0462116
6,32570,2997046032,4.59163e-41,0,0
6,416,165,4.59163e-41,0,0
6,416,165,0.651211,0.345368,-0.0694895
9,32570,2997046032,4.59163e-41,0,0
9,364,187,4.59163e-41,0,0
9,364,187,0.568796,0.39023,-0.045842
10,32570,2997046032,4.59163e-41,0,0
10,374,141,4.59163e-41,0,0
10,374,141,0.585885,0.295715,-0.063777
0,32570,2997046032,4.59163e-41,0,0
0,307,282,4.59163e-41,0,0
0,307,282,0.479827,0.589225,7.72541e-07
5,32570,2997046032,4.59163e-41,0,0
5,391,201,4.59163e-41,0,0
5,391,201,0.611542,0.419319,-0.0400041
6,32570,2997046032,4.59163e-41,0,0
6,420,168,4.59163e-41,0,0
6,420,168,0.656503,0.35101,-0.0629495
9,32570,2997046032,4.59163e-41,0,0
9,365,185,4.59163e-41,0,0
9,365,185,0.571093,0.386666,-0.0415706
10,32570,2997046032,4.59163e-41,0,0
10,380,142,4.59163e-41,0,0
10,380,142,0.595051,0.296584,-0.0589186
0,32570,2997046032,4.59163e-41,0,0
0,303,274,4.59163e-41,0,0
0,303,274,0.474809,0.571568,8.13657e-07
5,32570,2997046032,4.59163e-41,0,0
5,390,201,4.59163e-41,0,0
5,390,201,0.610828,0.420433,-0.0389118
6,32570,2997046032,4.59163e-41,0,0
6,419,169,4.59163e-41,0,0
6,419,169,0.655469,0.352848,-0.0624843
9,32570,2997046032,4.59163e-41,0,0
9,365,184,4.59163e-41,0,0
9,365,184,0.570565,0.384821,-0.0420347
10,32570,2997046032,4.59163e-41,0,0
10,379,140,4.59163e-41,0,0
10,379,140,0.592471,0.291965,-0.0609341
0,32570,2997046032,4.59163e-41,0,0
0,302,274,4.59163e-41,0,0
0,302,274,0.472065,0.571048,7.68093e-07
5,32570,2997046032,4.59163e-41,0,0
5,388,201,4.59163e-41,0,0
5,388,201,0.607048,0.419429,-0.0382368
6,32570,2997046032,4.59163e-41,0,0
6,417,168,4.59163e-41,0,0
6,417,168,0.652095,0.350241,-0.059925
9,32570,2997046032,4.59163e-41,0,0
9,365,185,4.59163e-41,0,0
9,365,185,0.570608,0.387215,-0.0381921
10,32570,2997046032,4.59163e-41,0,0
10,378,142,4.59163e-41,0,0
10,378,142,0.591602,0.296254,-0.0563723
0,32570,2997046032,4.59163e-41,0,0
0,300,272,4.59163e-41,0,0
0,300,272,0.469154,0.568295,7.42586e-07
5,32570,2997046032,4.59163e-41,0,0
5,385,199,4.59163e-41,0,0
5,385,199,0.602558,0.415641,-0.0369492
6,32570,2997046032,4.59163e-41,0,0
6,411,166,4.59163e-41,0,0
6,411,166,0.64371,0.347533,-0.0587071
9,32570,2997046032,4.59163e-41,0,0
9,361,185,4.59163e-41,0,0
9,361,185,0.564707,0.386959,-0.039147
10,32570,2997046032,4.59163e-41,0,0
10,372,142,4.59163e-41,0,0
10,372,142,0.581426,0.297399,-0.0575019
0,32570,2997046032,4.59163e-41,0,0
0,296,271,4.59163e-41,0,0
0,296,271,0.463557,0.566604,7.12519e-07
5,32570,2997046032,4.59163e-41,0,0
5,381,198,4.59163e-41,0,0
5,381,198,0.59631,0.414398,-0.03946
6,32570,2997046032,4.59163e-41,0,0
6,407,165,4.59163e-41,0,0
6,407,165,0.636624,0.344759,-0.0625365
9,32570,2997046032,4.59163e-41,0,0
9,357,185,4.59163e-41,0,0
9,357,185,0.558704,0.387322,-0.0400578
10,32570,2997046032,4.59163e-41,0,0
10,367,141,4.59163e-41,0,0
10,367,141,0.574238,0.295286,-0.0589506
0,32570,2997046032,4.59163e-41,0,0
0,297,272,4.59163e-41,0,0
0,297,272,0.464766,0.567549,6.83709e-07
5,32570,2997046032,4.59163e-41,0,0
5,380,199,4.59163e-41,0,0
5,380,199,0.593785,0.414809,-0.0336459
6,32570,2997046032,4.59163e-41,0,0
6,405,165,4.59163e-41,0,0
6,405,165,0.634075,0.345106,-0.0525615
9,32570,2997046032,4.59163e-41,0,0
9,355,185,4.59163e-41,0,0
9,355,185,0.556074,0.386529,-0.0339753
10,32570,2997046032,4.59163e-41,0,0
10,363,142,4.59163e-41,0,0
10,363,142,0.568381,0.296061,-0.0498822
0,32570,2997046032,4.59163e-41,0,0
0,298,273,4.59163e-41,0,0
0,298,273,0.466367,0.569869,7.50167e-07
5,32570,2997046032,4.59163e-41,0,0
5,378,200,4.59163e-41,0,0
5,378,200,0.592044,0.41723,-0.0367342
6,32570,2997046032,4.59163e-41,0,0
6,405,168,4.59163e-41,0,0
6,405,168,0.634045,0.350463,-0.0593263
9,32570,2997046032,4.59163e-41,0,0
9,354,185,4.59163e-41,0,0
9,354,185,0.553865,0.387493,-0.0381921
10,32570,2997046032,4.59163e-41,0,0
10,363,144,4.59163e-41,0,0
10,363,144,0.568352,0.300161,-0.0582546
0,32570,2997046032,4.59163e-41,0,0
0,297,273,4.59163e-41,0,0
0,297,273,0.465057,0.569465,7.80042e-07
5,32570,2997046032,4.59163e-41,0,0
5,379,199,4.59163e-41,0,0
5,379,199,0.592754,0.416453,-0.0330003
6,32570,2997046032,4.59163e-41,0,0
6,407,169,4.59163e-41,0,0
6,407,169,0.636096,0.353477,-0.0565639
9,32570,2997046032,4.59163e-41,0,0
9,354,185,4.59163e-41,0,0
9,354,185,0.553555,0.387351,-0.0359064
10,32570,2997046032,4.59163e-41,0,0
10,364,146,4.59163e-41,0,0
10,364,146,0.569793,0.305753,-0.0579898
0,32570,2997046032,4.59163e-41,0,0
0,299,273,4.59163e-41,0,0
0,299,273,0.467815,0.569479,7.65043e-07
5,32570,2997046032,4.59163e-41,0,0
5,379,201,4.59163e-41,0,0
5,379,201,0.593219,0.420538,-0.0325402
6,32570,2997046032,4.59163e-41,0,0
