Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
0,426,235,0.665876,0.491476,4.77933e-07
5,32679,845699152,4.59121e-41,0,0
5,491,140,4.59121e-41,0,0
5,491,140,0.767801,0.29322,-0.0324265
6,32679,845699152,4.59121e-41,0,0
6,509,102,4.59121e-41,0,0
6,509,102,0.795781,0.213496,-0.0544316
9,32679,845699152,4.59121e-41,0,0
9,464,130,4.59121e-41,0,0
9,464,130,0.725024,0.272634,-0.0348644
10,32679,845699152,4.59121e-41,0,0
10,467,83,4.59121e-41,0,0
10,467,83,0.731052,0.174385,-0.0524968
0,32679,845699152,4.59121e-41,0,0
0,429,229,4.59121e-41,0,0
0,429,229,0.670485,0.477295,4.73899e-07
5,32679,845699152,4.59121e-41,0,0
5,493,135,4.59121e-41,0,0
5,493,135,0.771292,0.282709,-0.0332278
6,32679,845699152,4.59121e-41,0,0
6,512,97,4.59121e-41,0,0
6,512,97,0.800815,0.20293,-0.0545794
9,32679,845699152,4.59121e-41,0,0
9,465,125,4.59121e-41,0,0
9,465,125,0.728103,0.261866,-0.0354583
10,32679,845699152,4.59121e-41,0,0
10,470,77,4.59121e-41,0,0
10,470,77,0.734666,0.162115,-0.0530847
0,32679,845699152,4.59121e-41,0,0
0,429,224,4.59121e-41,0,0
0,429,224,0.67079,0.46832,4.55936e-07
5,32679,845699152,4.59121e-41,0,0
5,495,133,4.59121e-41,0,0
5,495,133,0.773689,0.277388,-0.0343948
6,32679,845699152,4.59121e-41,0,0
6,513,94,4.59121e-41,0,0
6,513,94,0.803056,0.196433,-0.0564193
9,32679,845699152,4.59121e-41,0,0
9,467,123,4.59121e-41,0,0
9,467,123,0.730881,0.257057,-0.0369896
10,32679,845699152,4.59121e-41,0,0
10,472,75,4.59121e-41,0,0
10,472,75,0.738517,0.157244,-0.054997
0,32679,845699152,4.59121e-41,0,0
0,432,225,4.59121e-41,0,0
0,432,225,0.675789,0.469329,4.46377e-07
5,32679,845699152,4.59121e-41,0,0
5,498,132,4.59121e-41,0,0
5,498,132,0.778254,0.275957,-0.0282728
6,32679,845699152,4.59121e-41,0,0
6,518,94,4.59121e-41,0,0
6,518,94,0.809945,0.195888,-0.0487136
9,32679,845699152,4.59121e-41,0,0
9,470,122,4.59121e-41,0,0
9,470,122,0.735861,0.25514,-0.0319153
10,32679,845699152,4.59121e-41,0,0
10,476,74,4.59121e-41,0,0
10,476,74,0.74516,0.155266,-0.0485707
0,32679,845699152,4.59121e-41,0,0
0,434,223,4.59121e-41,0,0
0,434,223,0.679237,0.46663,4.62889e-07
5,32679,845699152,4.59121e-41,0,0
5,499,132,4.59121e-41,0,0
5,499,132,0.780063,0.275132,-0.0310936
6,32679,845699152,4.59121e-41,0,0
6,518,94,4.59121e-41,0,0
6,518,94,0.810867,0.19637,-0.0524778
9,32679,845699152,4.59121e-41,0,0
9,472,122,4.59121e-41,0,0
9,472,122,0.738088,0.25462,-0.0342472
10,32679,845699152,4.59121e-41,0,0
10,478,75,4.59121e-41,0,0
10,478,75,0.747604,0.157099,-0.0520267
0,32679,845699152,4.59121e-41,0,0
0,435,221,4.59121e-41,0,0
0,435,221,0.681043,0.461995,4.68061e-07
